,Unnamed: 0,Unnamed: 0.1,location,timestamp,tweet,tiny_tweet,tokens,stems
83978,83978,83978,"[,]",2020-05-11 20:21:12+00:00,"Nunca había llegando a tanto haciendo ejercicios de estiramiento, esta cuarentena algo bueno tenia que tener ✌️🧘‍♀️",Nunca llegando tanto haciendo ejercicios estiramiento esta cuarentena algo bueno tenia tener,"['nunca', 'llegando', 'tanto', 'haciendo', 'ejercicios', 'estiramiento', 'esta', 'cuarentena', 'algo', 'bueno', 'tenia', 'tener']","['nunc', 'lleg', 'tant', 'hac', 'ejercici', 'estir', 'esta', 'cuarenten', 'algo', 'buen', 'teni', 'ten']"
84008,84008,84008,"[,]",2020-05-11 20:22:55+00:00,"Me encantaría poder sacarme una foto y salir bien para poder subir, pero la cuarentena pegó como el ojete",encantar poder sacarme foto salir bien para poder subir pero cuarentena como ojete,"['encantar', 'poder', 'sacarme', 'foto', 'salir', 'bien', 'para', 'poder', 'subir', 'pero', 'cuarentena', 'como', 'ojete']","['encant', 'pod', 'sac', 'fot', 'sal', 'bien', 'par', 'pod', 'sub', 'per', 'cuarenten', 'com', 'ojet']"
84130,84130,84130,"[,]",2020-05-11 20:28:31+00:00,Estoy de cuarentena con el enano que no le gusta jugar al tutti fruti. Adiós mundo cruel.,Estoy cuarentena enano gusta jugar tutti fruti mundo cruel,"['estoy', 'cuarentena', 'enano', 'gusta', 'jugar', 'tutti', 'fruti', 'mundo', 'cruel']","['estoy', 'cuarenten', 'enan', 'gust', 'jug', 'tutti', 'fruti', 'mund', 'cruel']"
84184,84184,84184,"[,]",2020-05-11 20:31:03+00:00,Llegué al momento de la cuarentena en qué voy a torturar a todo el edificio con el cello...,Llegu momento cuarentena torturar todo edificio cello,"['llegu', 'momento', 'cuarentena', 'torturar', 'todo', 'edificio', 'cello']","['llegu', 'moment', 'cuarenten', 'tortur', 'tod', 'edifici', 'cell']"
84219,84219,84219,"[,]",2020-05-11 20:32:35+00:00,"Lo que hace la CUARENTENA, nunca como ahora @willykohan tuiteo tanto.",hace CUARENTENA nunca como ahora tuiteo tanto,"['hace', 'cuarentena', 'nunca', 'como', 'ahora', 'tuiteo', 'tanto']","['hac', 'cuarenten', 'nunc', 'com', 'ahor', 'tuite', 'tant']"
84287,84287,84287,"[,]",2020-05-11 20:35:56+00:00,Cuantas veces cambiaron los muebles de lugar en cuarentena? Ya ya voy x la 6ta,Cuantas veces cambiaron muebles lugar cuarentena,"['cuantas', 'veces', 'cambiaron', 'muebles', 'lugar', 'cuarentena']","['cuant', 'vec', 'cambi', 'muebl', 'lug', 'cuarenten']"
84290,84290,84290,"[,]",2020-05-11 20:36:00+00:00,Estoy contento de haber descubierto en esta cuarentena  a Osvaldo Soriano.,Estoy contento haber descubierto esta cuarentena Osvaldo Soriano,"['estoy', 'contento', 'haber', 'descubierto', 'esta', 'cuarentena', 'osvaldo', 'soriano']","['estoy', 'content', 'hab', 'descubiert', 'esta', 'cuarenten', 'osvald', 'sorian']"
84446,84446,84446,"[,]",2020-05-11 20:43:34+00:00,Acaten la cuarentena que se está por terminar,Acaten cuarentena terminar,"['acaten', 'cuarentena', 'terminar']","['acat', 'cuarenten', 'termin']"
84544,84544,84544,"[,]",2020-05-11 20:47:56+00:00,Hoy hice ejercicio y creo que es lo más productivo que hice en estos 50 días de cuarentena.,hice ejercicio creo productivo hice estos cuarentena,"['hice', 'ejercicio', 'creo', 'productivo', 'hice', 'estos', 'cuarentena']","['hic', 'ejercici', 'cre', 'product', 'hic', 'estos', 'cuarenten']"
84583,84583,84583,"[,]",2020-05-11 20:49:39+00:00,Cumpleaños en cuarentena?,Cumplea cuarentena,"['cumplea', 'cuarentena']","['cumple', 'cuarenten']"
84653,84653,84653,"[,]",2020-05-11 20:54:24+00:00,La gente en cuarentena maneja peor que de costumbre,gente cuarentena maneja peor costumbre,"['gente', 'cuarentena', 'maneja', 'peor', 'costumbre']","['gent', 'cuarenten', 'manej', 'peor', 'costumbr']"
