,Unnamed: 0,Unnamed: 0.1,location,timestamp,tweet,tiny_tweet,tokens,stems
25128,25128,25128,"[,]",2020-05-08 16:53:00+00:00,@GreciaLotta que si dejas que el muchacho tenga más juguetes que saco buenas notas y la cuarentena lo tiene loco,dejas muchacho tenga juguetes saco buenas notas cuarentena tiene loco,"['dejas', 'muchacho', 'tenga', 'juguetes', 'saco', 'buenas', 'notas', 'cuarentena', 'tiene', 'loco']","['dej', 'muchach', 'teng', 'juguet', 'sac', 'buen', 'not', 'cuarenten', 'tien', 'loc']"
25150,25150,25150,"[,]",2020-05-08 16:54:10+00:00,Jajajjaa no son más boludos por qué están en cuarentena sino!,Jajajjaa boludos cuarentena sino,"['jajajjaa', 'boludos', 'cuarentena', 'sino']","['jajajja', 'bolud', 'cuarenten', 'sin']"
25197,25197,25197,"[,]",2020-05-08 16:56:24+00:00,Wacho el chiste de ig de q rompiste la cuarentena es gracioso la primera ya la 5ta la gente no compra 🙃🙃,Wacho chiste rompiste cuarentena gracioso primera gente compra,"['wacho', 'chiste', 'rompiste', 'cuarentena', 'gracioso', 'primera', 'gente', 'compra']","['wach', 'chist', 'romp', 'cuarenten', 'gracios', 'primer', 'gent', 'compr']"
25229,25229,25229,"[,]",2020-05-08 16:58:05+00:00,Fuá loco logré en mitad de tiempo las cosas que me propuse para este año y encima en cuarentena.,loco logr mitad tiempo cosas propuse para este encima cuarentena,"['loco', 'logr', 'mitad', 'tiempo', 'cosas', 'propuse', 'para', 'este', 'encima', 'cuarentena']","['loc', 'logr', 'mit', 'tiemp', 'cos', 'propus', 'par', 'este', 'encim', 'cuarenten']"
25230,25230,25230,"[,]",2020-05-08 16:58:09+00:00,Puse un arroz yamani espero que se haga antes de que se levante la cuarentena,Puse arroz yamani espero haga antes levante cuarentena,"['puse', 'arroz', 'yamani', 'espero', 'haga', 'antes', 'levante', 'cuarentena']","['pus', 'arroz', 'yamani', 'esper', 'hag', 'antes', 'levant', 'cuarenten']"
25338,25338,25338,"[,]",2020-05-08 17:04:51+00:00,50 vinos de cuarentena.,vinos cuarentena,"['vinos', 'cuarentena']","['vin', 'cuarenten']"
25342,25342,25342,"[,]",2020-05-08 17:05:13+00:00,@pviloutaoficial Que ladri sos con razon te gusta esta cantinela de la cuarentena  Salame,ladri razon gusta esta cantinela cuarentena Salame,"['ladri', 'razon', 'gusta', 'esta', 'cantinela', 'cuarentena', 'salame']","['ladri', 'razon', 'gust', 'esta', 'cantinel', 'cuarenten', 'salam']"
25359,25359,25359,"[,]",2020-05-08 17:06:06+00:00,Lo único que me hace bien en esta cuarentena es verlo a el 😍,nico hace bien esta cuarentena verlo,"['nico', 'hace', 'bien', 'esta', 'cuarentena', 'verlo']","['nic', 'hac', 'bien', 'esta', 'cuarenten', 'verl']"
25429,25429,25429,"[,]",2020-05-08 17:09:05+00:00,Nadie aprendió una mierda en estos 50 días?? 🤦🏽‍♀️ siguen reuniéndose y salen sin barbijo! Nos merecemos años de cuarentena 😷,Nadie aprendi mierda estos siguen reuni ndose salen barbijo merecemos cuarentena,"['nadie', 'aprendi', 'mierda', 'estos', 'siguen', 'reuni', 'ndose', 'salen', 'barbijo', 'merecemos', 'cuarentena']","['nadi', 'aprendi', 'mierd', 'estos', 'sig', 'reuni', 'ndos', 'sal', 'barbij', 'merec', 'cuarenten']"
25453,25453,25453,"[,]",2020-05-08 17:10:35+00:00,La cuarentena termina en 15 días. No importa cuando leas esto.,cuarentena termina importa cuando leas esto,"['cuarentena', 'termina', 'importa', 'cuando', 'leas', 'esto']","['cuarenten', 'termin', 'import', 'cuand', 'leas', 'esto']"
25455,25455,25455,"[,]",2020-05-08 17:10:36+00:00,"Diossss, esta cuarentena me hace vivir en modo paja",Diossss esta cuarentena hace vivir modo paja,"['diossss', 'esta', 'cuarentena', 'hace', 'vivir', 'modo', 'paja']","['diossss', 'esta', 'cuarenten', 'hac', 'viv', 'mod', 'paj']"
25485,25485,25485,"[,]",2020-05-08 17:12:17+00:00,Me estoy clavando ALTO chegusan de vacío con criolla. Por suerte con esto de la cuarentena a la única que le doy besitos es a mi perra...,estoy clavando ALTO chegusan criolla suerte esto cuarentena nica besitos perra,"['estoy', 'clavando', 'alto', 'chegusan', 'criolla', 'suerte', 'esto', 'cuarentena', 'nica', 'besitos', 'perra']","['estoy', 'clav', 'alto', 'chegus', 'crioll', 'suert', 'esto', 'cuarenten', 'nic', 'besit', 'perr']"
25509,25509,25509,"[,]",2020-05-08 17:13:20+00:00,Igual sin cuarentena también. Ke Sad,Igual cuarentena tambi,"['igual', 'cuarentena', 'tambi']","['igual', 'cuarenten', 'tambi']"
25592,25592,25592,"[,]",2020-05-08 17:17:39+00:00,"VEO QUE HAY GENTE USANDO ZAPATILLAS EN LA CASA,OSEA ESTAMOS EN CUARENTENA. mira que me voy a poner zapas para caminar por la casa.",GENTE USANDO ZAPATILLAS CASA OSEA ESTAMOS CUARENTENA mira poner zapas para caminar casa,"['gente', 'usando', 'zapatillas', 'casa', 'osea', 'estamos', 'cuarentena', 'mira', 'poner', 'zapas', 'para', 'caminar', 'casa']","['gent', 'usand', 'zapatill', 'cas', 'ose', 'estam', 'cuarenten', 'mir', 'pon', 'zap', 'par', 'camin', 'cas']"
25672,25672,25672,"[,]",2020-05-08 17:21:17+00:00,"@Rodcasafus @Romansocias amigo, a mi me salio mi novia!!! jajajaajaj que la cuarentena sea eterna xd",amigo salio novia jajajaajaj cuarentena eterna,"['amigo', 'salio', 'novia', 'jajajaajaj', 'cuarentena', 'eterna']","['amig', 'sali', 'novi', 'jajajaajaj', 'cuarenten', 'etern']"
25698,25698,25698,"[,]",2020-05-08 17:22:37+00:00,Yo estoy fantaseando con mi cumpleaños y seguro no levantan la cuarentena hasta que tenga 20,estoy fantaseando cumplea seguro levantan cuarentena hasta tenga,"['estoy', 'fantaseando', 'cumplea', 'seguro', 'levantan', 'cuarentena', 'hasta', 'tenga']","['estoy', 'fantas', 'cumple', 'segur', 'levant', 'cuarenten', 'hast', 'teng']"
25728,25728,25728,"[,]",2020-05-08 17:23:59+00:00,"Estoy re podrido de las vueltas de la cuarentena, 2020 metió 4 años en tres meses.",Estoy podrido vueltas cuarentena meti tres meses,"['estoy', 'podrido', 'vueltas', 'cuarentena', 'meti', 'tres', 'meses']","['estoy', 'podr', 'vuelt', 'cuarenten', 'meti', 'tres', 'mes']"
25790,25790,25790,"[,]",2020-05-08 17:27:21+00:00,"Hoy arranco la previa de mi cumple, ningún virus me va a impedir perder la conciencia con alcohol",arranco previa cumple ning virus impedir perder conciencia alcohol,"['arranco', 'previa', 'cumple', 'ning', 'virus', 'impedir', 'perder', 'conciencia', 'alcohol']","['arranc', 'previ', 'cumpl', 'ning', 'virus', 'imped', 'perd', 'concienci', 'alcohol']"
25841,25841,25841,"[,]",2020-05-08 17:30:03+00:00,"Donde denunció porque rompiste la cuarentena y no para verme a mi, decep cionada",Donde denunci porque rompiste cuarentena para verme decep cionada,"['donde', 'denunci', 'porque', 'rompiste', 'cuarentena', 'para', 'verme', 'decep', 'cionada']","['dond', 'denunci', 'porqu', 'romp', 'cuarenten', 'par', 'verm', 'decep', 'cion']"
25861,25861,25861,"[,]",2020-05-08 17:31:07+00:00,@joongmjne Es una cuarentena violenta,cuarentena violenta,"['cuarentena', 'violenta']","['cuarenten', 'violent']"
25933,25933,25933,"[,]",2020-05-09 10:35:26+00:00,amar en tiempos de cuarentena,amar tiempos cuarentena,"['amar', 'tiempos', 'cuarentena']","['amar', 'tiemp', 'cuarenten']"
26086,26086,26086,"[,]",2020-05-09 11:10:19+00:00,Los psicólogos y psiquiatras se hacen un festín con está cuarentena histórica. #BuenSabado,psic logos psiquiatras hacen fest cuarentena hist rica #BuenSabado,"['psic', 'logos', 'psiquiatras', 'hacen', 'fest', 'cuarentena', 'hist', 'rica', '#buensabado']","['psic', 'log', 'psiquiatr', 'hac', 'fest', 'cuarenten', 'hist', 'ric', '#buensab']"
26122,26122,26122,"[,]",2020-05-09 11:17:39+00:00,"@JuanCar15373756 Hartos de la cuarentena, eso sí!",Hartos cuarentena,"['hartos', 'cuarentena']","['hart', 'cuarenten']"
26200,26200,26200,"[,]",2020-05-09 11:30:45+00:00,"Día “infinito” de cuarentena, y todavia no entiendo que tenia que ver el 🧻 en todo esto? 🤷🏽‍♀️",infinito cuarentena todavia entiendo tenia todo esto,"['infinito', 'cuarentena', 'todavia', 'entiendo', 'tenia', 'todo', 'esto']","['infinit', 'cuarenten', 'todavi', 'entiend', 'teni', 'tod', 'esto']"
26206,26206,26206,"[,]",2020-05-09 11:31:14+00:00,@imuglyy_ Eso te pasa por irte a otro lado para pasar la cuarentena pt,pasa irte otro lado para pasar cuarentena,"['pasa', 'irte', 'otro', 'lado', 'para', 'pasar', 'cuarentena']","['pas', 'irte', 'otro', 'lad', 'par', 'pas', 'cuarenten']"
26391,26391,26391,"[,]",2020-05-09 11:51:52+00:00,No estamos en cuarentena ?? O solo la cuarentena es para los que pagamos impuestos ?,estamos cuarentena solo cuarentena para pagamos impuestos,"['estamos', 'cuarentena', 'solo', 'cuarentena', 'para', 'pagamos', 'impuestos']","['estam', 'cuarenten', 'sol', 'cuarenten', 'par', 'pag', 'impuest']"
26425,26425,26425,"[,]",2020-05-09 11:54:50+00:00,xq está tan linda dsp de un mes en cuarentena?,linda cuarentena,"['linda', 'cuarentena']","['lind', 'cuarenten']"
26428,26428,26428,"[,]",2020-05-09 11:55:09+00:00,literalmente no subí fotos de mi cara en toda la cuarentena estoy impresentable,literalmente fotos cara toda cuarentena estoy impresentable,"['literalmente', 'fotos', 'cara', 'toda', 'cuarentena', 'estoy', 'impresentable']","['literal', 'fot', 'car', 'tod', 'cuarenten', 'estoy', 'impresent']"
26510,26510,26510,"[,]",2020-05-09 12:02:17+00:00,"@Diebosterito Buen día ,espero q sea un sábado luminoso ,y q podamos escuchar musica ,q es lo único q no nombra el maldito virus",Buen espero bado luminoso podamos escuchar musica nico nombra maldito virus,"['buen', 'espero', 'bado', 'luminoso', 'podamos', 'escuchar', 'musica', 'nico', 'nombra', 'maldito', 'virus']","['buen', 'esper', 'bad', 'lumin', 'pod', 'escuch', 'music', 'nic', 'nombr', 'maldit', 'virus']"
26521,26521,26521,"[,]",2020-05-09 12:03:02+00:00,"@nenade_antes Cuando dijo que el Corona no llegaba a la Argentina,fue un descuido del cuidador de Gines...se le escapó y hablo boludeces",Cuando dijo Corona llegaba Argentina descuido cuidador Gines escap hablo boludeces,"['cuando', 'dijo', 'corona', 'llegaba', 'argentina', 'descuido', 'cuidador', 'gines', 'escap', 'hablo', 'boludeces']","['cuand', 'dij', 'coron', 'lleg', 'argentin', 'descu', 'cuidador', 'gin', 'escap', 'habl', 'boludec']"
26605,26605,26605,"[,]",2020-05-09 12:10:28+00:00,Cansada de la cuarentena.... de todo lo relacionado a ella,Cansada cuarentena todo relacionado ella,"['cansada', 'cuarentena', 'todo', 'relacionado', 'ella']","['cans', 'cuarenten', 'tod', 'relacion', 'ella']"
26626,26626,26626,"[,]",2020-05-09 12:12:35+00:00,@Lupo55 Se junto con AF y se contagió el virus de la mentira 🤷‍♀️,junto contagi virus mentira,"['junto', 'contagi', 'virus', 'mentira']","['junt', 'contagi', 'virus', 'mentir']"
26630,26630,26630,"[,]",2020-05-09 12:12:54+00:00,"Las provincias que no tienen corona virus, que se siente ser los favoritos de Dios? nica🤣",provincias tienen corona virus siente favoritos Dios nica,"['provincias', 'tienen', 'corona', 'virus', 'siente', 'favoritos', 'dios', 'nica']","['provinci', 'tien', 'coron', 'virus', 'sient', 'favorit', 'dios', 'nic']"
26797,26797,26797,"[,]",2020-05-09 12:25:58+00:00,"@rcas1 Si tengo que contagiarme del virus para ser SUECIA, donde hay que firmar?",tengo contagiarme virus para SUECIA donde firmar,"['tengo', 'contagiarme', 'virus', 'para', 'suecia', 'donde', 'firmar']","['teng', 'contagi', 'virus', 'par', 'sueci', 'dond', 'firm']"
26912,26912,26912,"[,]",2020-05-09 12:35:58+00:00,"Mi cabello ahora esta un monten... Creo que seguiré así hasta cuando termine esta cuarentena, no se.",cabello ahora esta monten Creo seguir hasta cuando termine esta cuarentena,"['cabello', 'ahora', 'esta', 'monten', 'creo', 'seguir', 'hasta', 'cuando', 'termine', 'esta', 'cuarentena']","['cabell', 'ahor', 'esta', 'mont', 'cre', 'segu', 'hast', 'cuand', 'termin', 'esta', 'cuarenten']"
27034,27034,27034,"[,]",2020-05-09 12:44:44+00:00,"@noseaszurdo @todonoticias No ,sabes porque ? Porque el virus te lo contagias también por contacto .",sabes porque Porque virus contagias tambi contacto,"['sabes', 'porque', 'porque', 'virus', 'contagias', 'tambi', 'contacto']","['sab', 'porqu', 'porqu', 'virus', 'contagi', 'tambi', 'contact']"
27145,27145,27145,"[,]",2020-05-09 12:52:38+00:00,"va a pasar su cumpleaños solo y en cuarentena SIN mi saludo, como tiene q ser",pasar cumplea solo cuarentena saludo como tiene,"['pasar', 'cumplea', 'solo', 'cuarentena', 'saludo', 'como', 'tiene']","['pas', 'cumple', 'sol', 'cuarenten', 'salud', 'com', 'tien']"
27155,27155,27155,"[,]",2020-05-09 12:53:35+00:00,Están preocupados por la cuarentena? No quiero ser aguafiestas pero creo que no va a ser la última 😒😱,preocupados cuarentena quiero aguafiestas pero creo ltima,"['preocupados', 'cuarentena', 'quiero', 'aguafiestas', 'pero', 'creo', 'ltima']","['preocup', 'cuarenten', 'quier', 'aguafiest', 'per', 'cre', 'ltim']"
27211,27211,27211,"[,]",2020-05-09 12:58:25+00:00,@MarianoFanOK @AngeldebritoOk Tal cual! Cansan..el mundo cambió no se dieron cuenta? Creen que la cuarentena es una moda...,cual Cansan mundo cambi dieron cuenta Creen cuarentena moda,"['cual', 'cansan', 'mundo', 'cambi', 'dieron', 'cuenta', 'creen', 'cuarentena', 'moda']","['cual', 'cans', 'mund', 'cambi', 'dieron', 'cuent', 'cre', 'cuarenten', 'mod']"
27255,27255,27255,"[,]",2020-05-09 13:01:15+00:00,@Vampira6662 Tendrías que haber pasado la cuarentena ahí ❤️,Tendr haber pasado cuarentena,"['tendr', 'haber', 'pasado', 'cuarentena']","['tendr', 'hab', 'pas', 'cuarenten']"
27261,27261,27261,"[,]",2020-05-09 13:01:30+00:00,@LomascoloSilvia @KrapoJuli @ernestorr Acá en Uruguay hoy hay 170 transcurriendo la enfermedad. Sin cuarentena obligatoria.,Uruguay transcurriendo enfermedad cuarentena obligatoria,"['uruguay', 'transcurriendo', 'enfermedad', 'cuarentena', 'obligatoria']","['uruguay', 'transcurr', 'enfermed', 'cuarenten', 'obligatori']"
27362,27362,27362,"[,]",2020-05-09 13:08:14+00:00,@Janchorena Y tiene un fondo siberano que les permite hacer toda la cuarentena que quieran.,tiene fondo siberano permite hacer toda cuarentena quieran,"['tiene', 'fondo', 'siberano', 'permite', 'hacer', 'toda', 'cuarentena', 'quieran']","['tien', 'fond', 'siberan', 'permit', 'hac', 'tod', 'cuarenten', 'quier']"
27379,27379,27379,"[,]",2020-05-09 13:08:58+00:00,"Se están llevando puesto todo, cuando termine la cuarentena, vamos a estar un poco más cerca de ser Venezuela.",llevando puesto todo cuando termine cuarentena vamos estar poco cerca Venezuela,"['llevando', 'puesto', 'todo', 'cuando', 'termine', 'cuarentena', 'vamos', 'estar', 'poco', 'cerca', 'venezuela']","['llev', 'puest', 'tod', 'cuand', 'termin', 'cuarenten', 'vam', 'estar', 'poc', 'cerc', 'venezuel']"
27406,27406,27406,"[,]",2020-05-09 13:10:39+00:00,@Jofa2010 @elesacol Alguien que dijo que el virus acá no llegaba por que China estaba lejos?. El mismo? Creía que el virus venía nadando?,Alguien dijo virus llegaba China estaba lejos mismo virus nadando,"['alguien', 'dijo', 'virus', 'llegaba', 'china', 'estaba', 'lejos', 'mismo', 'virus', 'nadando']","['algui', 'dij', 'virus', 'lleg', 'chin', 'estab', 'lej', 'mism', 'virus', 'nad']"
27446,27446,27446,"[,]",2020-05-09 13:13:17+00:00,"Todos dicen que cuando termine la cuarentena quieren salir a bailar, tomar! Yo solo quiero volver a ver a mi Familia❤🥺",Todos dicen cuando termine cuarentena quieren salir bailar tomar solo quiero volver Familia,"['todos', 'dicen', 'cuando', 'termine', 'cuarentena', 'quieren', 'salir', 'bailar', 'tomar', 'solo', 'quiero', 'volver', 'familia']","['tod', 'dic', 'cuand', 'termin', 'cuarenten', 'quier', 'sal', 'bail', 'tom', 'sol', 'quier', 'volv', 'famili']"
27493,27493,27493,"[,]",2020-05-09 13:17:20+00:00,"@SergioChouza @worldmetor Noveno país, y sin tener cuarentena.",Noveno tener cuarentena,"['noveno', 'tener', 'cuarentena']","['noven', 'ten', 'cuarenten']"
27525,27525,27525,"[,]",2020-05-09 13:19:07+00:00,Creo que la cuarentena me ha echo disfrutar de pequeñas cosas que antes pasaba x alto,Creo cuarentena echo disfrutar peque cosas antes pasaba alto,"['creo', 'cuarentena', 'echo', 'disfrutar', 'peque', 'cosas', 'antes', 'pasaba', 'alto']","['cre', 'cuarenten', 'echo', 'disfrut', 'pequ', 'cos', 'antes', 'pas', 'alto']"
27537,27537,27537,"[,]",2020-05-09 13:19:51+00:00,@ElAcertijoOk A principio de la cuarentena dejó de funcionar la mía pero la pude reparar!!!,principio cuarentena funcionar pero pude reparar,"['principio', 'cuarentena', 'funcionar', 'pero', 'pude', 'reparar']","['principi', 'cuarenten', 'funcion', 'per', 'pud', 'repar']"
27667,27667,27667,"[,]",2020-05-09 13:27:36+00:00,Quédate con quien te extrañe en cuarentena ❤,date quien extra cuarentena,"['date', 'quien', 'extra', 'cuarentena']","['dat', 'qui', 'extra', 'cuarenten']"
27719,27719,27719,"[,]",2020-05-09 13:30:56+00:00,"Lo golpeada que esta la gente, mierda que les afectó la cuarentena. 🤦‍♀️",golpeada esta gente mierda afect cuarentena,"['golpeada', 'esta', 'gente', 'mierda', 'afect', 'cuarentena']","['golp', 'esta', 'gent', 'mierd', 'afect', 'cuarenten']"
27726,27726,27726,"[,]",2020-05-09 13:31:19+00:00,@Laurix73 Soy Tauro y súper feliz c el cumple en cuarentena. No me tuve que poner a trabajar ni cocinar para nadie. Me mimaron!,Tauro feliz cumple cuarentena tuve poner trabajar cocinar para nadie mimaron,"['tauro', 'feliz', 'cumple', 'cuarentena', 'tuve', 'poner', 'trabajar', 'cocinar', 'para', 'nadie', 'mimaron']","['taur', 'feliz', 'cumpl', 'cuarenten', 'tuv', 'pon', 'trabaj', 'cocin', 'par', 'nadi', 'mim']"
27736,27736,27736,"[,]",2020-05-09 13:31:33+00:00,Confirmen si a todos la cuarentena nos tiene con el autoestima por el piso?,Confirmen todos cuarentena tiene autoestima piso,"['confirmen', 'todos', 'cuarentena', 'tiene', 'autoestima', 'piso']","['confirm', 'tod', 'cuarenten', 'tien', 'autoestim', 'pis']"
27751,27751,27751,"[,]",2020-05-09 13:32:56+00:00,Como nos va a costar post cuarentena cambiarnos la remera todos los días.,Como costar post cuarentena cambiarnos remera todos,"['como', 'costar', 'post', 'cuarentena', 'cambiarnos', 'remera', 'todos']","['com', 'cost', 'post', 'cuarenten', 'cambi', 'remer', 'tod']"
27795,27795,27795,"[,]",2020-05-09 13:34:47+00:00,"Cof cof, muchos encargados de edificio de Recoleta no cumplieron nunca con la cuarentena",muchos encargados edificio Recoleta cumplieron nunca cuarentena,"['muchos', 'encargados', 'edificio', 'recoleta', 'cumplieron', 'nunca', 'cuarentena']","['much', 'encarg', 'edifici', 'recolet', 'cumpl', 'nunc', 'cuarenten']"
27817,27817,27817,"[,]",2020-05-09 13:35:43+00:00,@Janfitwitero Eso de atravesar la treintena en cuarentena. Me pasó hace unos días. ¡Muy feliz cumpleaños!,atravesar treintena cuarentena hace unos feliz cumplea,"['atravesar', 'treintena', 'cuarentena', 'hace', 'unos', 'feliz', 'cumplea']","['atraves', 'treinten', 'cuarenten', 'hac', 'unos', 'feliz', 'cumple']"
27869,27869,27869,"[,]",2020-05-09 13:38:29+00:00,Cuarentena hasta el 24/5 chicos,Cuarentena hasta chicos,"['cuarentena', 'hasta', 'chicos']","['cuarenten', 'hast', 'chic']"
27943,27943,27943,"[,]",2020-05-09 13:43:13+00:00,No podes viajar de capital a la plata en taxi y en plena cuarentena. Por personas como estas nos quedamos en la fase 3,podes viajar capital plata taxi plena cuarentena personas como estas quedamos fase,"['podes', 'viajar', 'capital', 'plata', 'taxi', 'plena', 'cuarentena', 'personas', 'como', 'estas', 'quedamos', 'fase']","['pod', 'viaj', 'capital', 'plat', 'taxi', 'plen', 'cuarenten', 'person', 'com', 'estas', 'qued', 'fas']"
27974,27974,27974,"[,]",2020-05-09 13:45:10+00:00,@Melitadesc Pero pase de tener fotos de Cho GPS a estampitas esta cuarentena me aniquiló boluda,Pero pase tener fotos estampitas esta cuarentena aniquil boluda,"['pero', 'pase', 'tener', 'fotos', 'estampitas', 'esta', 'cuarentena', 'aniquil', 'boluda']","['per', 'pas', 'ten', 'fot', 'estampit', 'esta', 'cuarenten', 'aniquil', 'bolud']"
27977,27977,27977,"[,]",2020-05-09 13:45:14+00:00,"@KollnSebastian Si, como para romper la cuarentena",como para romper cuarentena,"['como', 'para', 'romper', 'cuarentena']","['com', 'par', 'romp', 'cuarenten']"
28008,28008,28008,"[,]",2020-05-09 13:46:37+00:00,@Ryu170289 @alejandrocsome Al menos desde que empezó la cuarentena,menos desde empez cuarentena,"['menos', 'desde', 'empez', 'cuarentena']","['men', 'desd', 'empez', 'cuarenten']"
28193,28193,28193,"[,]",2020-05-09 13:55:35+00:00,Llenitoel arco ayer jajajaj nunca se llena se viene a llenar en cuarentena vamos bien jajaj🤣,Llenitoel arco ayer jajajaj nunca llena viene llenar cuarentena vamos bien jajaj,"['llenitoel', 'arco', 'ayer', 'jajajaj', 'nunca', 'llena', 'viene', 'llenar', 'cuarentena', 'vamos', 'bien', 'jajaj']","['llenitoel', 'arco', 'ayer', 'jajajaj', 'nunc', 'llen', 'vien', 'llen', 'cuarenten', 'vam', 'bien', 'jajaj']"
28197,28197,28197,"[,]",2020-05-09 13:55:44+00:00,@auri33 Viste!!? Proliferan los idiotas en cuarentena,Viste Proliferan idiotas cuarentena,"['viste', 'proliferan', 'idiotas', 'cuarentena']","['vist', 'prolifer', 'idiot', 'cuarenten']"
28228,28228,28228,"[,]",2020-05-09 13:57:27+00:00,Que @AsisOberdan haga videos en IGTV mejora notablemente mi cuarentena.,haga videos IGTV mejora notablemente cuarentena,"['haga', 'videos', 'igtv', 'mejora', 'notablemente', 'cuarentena']","['hag', 'vide', 'igtv', 'mejor', 'notabl', 'cuarenten']"
28273,28273,28273,"[,]",2020-05-09 13:59:30+00:00,"Uy, porque es TAN ALTA la tasa de mortalidad del virus...",porque ALTA tasa mortalidad virus,"['porque', 'alta', 'tasa', 'mortalidad', 'virus']","['porqu', 'alta', 'tas', 'mortal', 'virus']"
28373,28373,28373,"[,]",2020-05-09 14:04:37+00:00,"Yo, que pagué el mes completo y al día siguiente dieron Cuarentena obligatoria",pagu completo siguiente dieron Cuarentena obligatoria,"['pagu', 'completo', 'siguiente', 'dieron', 'cuarentena', 'obligatoria']","['pagu', 'complet', 'siguient', 'dieron', 'cuarenten', 'obligatori']"
28468,28468,28468,"[,]",2020-05-09 14:09:06+00:00,"@CintitaR Creo que ya esta triplicada, solo falta que los blanqueen.  En el conurbano no se respeto jamás la cuarentena",Creo esta triplicada solo falta blanqueen conurbano respeto cuarentena,"['creo', 'esta', 'triplicada', 'solo', 'falta', 'blanqueen', 'conurbano', 'respeto', 'cuarentena']","['cre', 'esta', 'triplic', 'sol', 'falt', 'blanqu', 'conurban', 'respet', 'cuarenten']"
28506,28506,28506,"[,]",2020-05-09 14:11:11+00:00,@varoquintana mas que el propio virus 😷,propio virus,"['propio', 'virus']","['propi', 'virus']"
28513,28513,28513,"[,]",2020-05-09 14:11:26+00:00,Un pequeño tip para la cuarentena. Para cuando les digan que están echando panza ustedes respondan que están ganando masa muscular.  Saludos,peque para cuarentena Para cuando digan echando panza ustedes respondan ganando masa muscular Saludos,"['peque', 'para', 'cuarentena', 'para', 'cuando', 'digan', 'echando', 'panza', 'ustedes', 'respondan', 'ganando', 'masa', 'muscular', 'saludos']","['pequ', 'par', 'cuarenten', 'par', 'cuand', 'dig', 'echand', 'panz', 'usted', 'respond', 'gan', 'mas', 'muscul', 'salud']"
28523,28523,28523,"[,]",2020-05-09 14:12:12+00:00,"@sergiouy125 😳 Sergio , tiene todo el corona virus metido atrás",Sergio tiene todo corona virus metido,"['sergio', 'tiene', 'todo', 'corona', 'virus', 'metido']","['sergi', 'tien', 'tod', 'coron', 'virus', 'met']"
28592,28592,28592,"[,]",2020-05-09 14:16:22+00:00,@AbdelhamidArg @JuanaDeViaje Beber en cuarentena es como los aeropuertos. Fair play,Beber cuarentena como aeropuertos Fair play,"['beber', 'cuarentena', 'como', 'aeropuertos', 'fair', 'play']","['beb', 'cuarenten', 'com', 'aeropuert', 'fair', 'play']"
28605,28605,28605,"[,]",2020-05-09 14:17:08+00:00,"Ayer salí a la calle y me di cuenta que la cuarentena hizo que me olvide del funcionamiento de las cebras, que raro ese auto cediendome paso",Ayer calle cuenta cuarentena hizo olvide funcionamiento cebras raro auto cediendome paso,"['ayer', 'calle', 'cuenta', 'cuarentena', 'hizo', 'olvide', 'funcionamiento', 'cebras', 'raro', 'auto', 'cediendome', 'paso']","['ayer', 'call', 'cuent', 'cuarenten', 'hiz', 'olvid', 'funcion', 'cebr', 'rar', 'aut', 'ced', 'pas']"
28619,28619,28619,"[,]",2020-05-09 14:18:20+00:00,Una parte de mi ya se encariñó con la cuarentena. La otra también...,parte encari cuarentena otra tambi,"['parte', 'encari', 'cuarentena', 'otra', 'tambi']","['part', 'encari', 'cuarenten', 'otra', 'tambi']"
28664,28664,28664,"[,]",2020-05-09 14:19:51+00:00,@AgustinaLocke @atuviejalegusto @ziberiaI Los mios ya estaban mal antes de la cuarentena.... gif de los negros bailando con el cajón,mios estaban antes cuarentena negros bailando,"['mios', 'estaban', 'antes', 'cuarentena', 'negros', 'bailando']","['mios', 'estab', 'antes', 'cuarenten', 'negr', 'bail']"
28668,28668,28668,"[,]",2020-05-09 14:19:59+00:00,@Tito9k9 Qué nació primero...los Virus o los Test...??,naci primero Virus Test,"['naci', 'primero', 'virus', 'test']","['naci', 'primer', 'virus', 'test']"
28694,28694,28694,"[,]",2020-05-09 14:21:30+00:00,@MarceloLudue Mira q es cuando pase la cuarentena 🤣🤣y con la tanuchi,Mira cuando pase cuarentena tanuchi,"['mira', 'cuando', 'pase', 'cuarentena', 'tanuchi']","['mir', 'cuand', 'pas', 'cuarenten', 'tanuchi']"
28711,28711,28711,"[,]",2020-05-09 14:22:19+00:00,"Cada 20"" o menos pasa un auto por la esquina de mi casa... 🤷🏻‍♂️ Saluden a la cuarentena que se fue...",Cada menos pasa auto esquina casa Saluden cuarentena,"['cada', 'menos', 'pasa', 'auto', 'esquina', 'casa', 'saluden', 'cuarentena']","['cad', 'men', 'pas', 'aut', 'esquin', 'cas', 'salud', 'cuarenten']"
28744,28744,28744,"[,]",2020-05-09 14:23:35+00:00,Tanto esfuerzo haciendo la cuarentena y ahora tiran todo por la ventana!,Tanto esfuerzo haciendo cuarentena ahora tiran todo ventana,"['tanto', 'esfuerzo', 'haciendo', 'cuarentena', 'ahora', 'tiran', 'todo', 'ventana']","['tant', 'esfuerz', 'hac', 'cuarenten', 'ahor', 'tir', 'tod', 'ventan']"
